filme,decada,score,nacionalidade,genero
Live by Night,2010,1,USA,Action
Electra Woman and Dyna Girl,2010,3,USA,Comedy
"Belko Experiment, The",2010,3,USA,Horror
Colossal,2010,0,USA,Comedy
Cam-Girl,2010,3,USA,Thriller
Keeping Up with the Joneses,2010,3,USA,Action
Monster High: Welcome to Monster High,2010,3,USA,Animation
"Void, The",2010,3,USA,Horror
Una,2010,2,USA,Drama
Almost Christmas,2010,3,USA,Comedy
"Darkness, The",2010,2,USA,Horror
Martyrs,2010,3,USA,Drama
A United Kingdom,2010,3,USA,Biography
"Red Turtle, The",2010,0,USA,Animation
A Quiet Passion,2010,3,USA,Biography
King of the Dancehall,2010,2,USA,Drama
Pet,2010,2,USA,Crime
Norman,2010,1,USA,Drama
Office Christmas Party,2010,3,USA,Comedy
Yoga Hosers,2010,2,USA,Action
Better Watch Out,2010,3,USA,Comedy
Our Kind of Traitor,2010,3,USA,Action
Sensitivity Training,2010,3,USA,Comedy
"Transfiguration, The",2010,0,USA,Drama
"Midnight Man, The",2010,3,USA,Fantasy
My Big Fat Greek Wedding 2,2010,3,USA,Comedy
"Choice, The",2010,3,USA,Drama
"Birth of a Nation, The",2010,1,USA,Biography
"Perfect Match, The",2010,2,USA,Comedy
"Brothers Grimsby, The",2010,1,USA,Action
"Angry Birds Movie, The",2010,1,USA,Animation
Ice Age: Collision Course,2010,3,USA,Animation
Blair Witch,2010,2,USA,Horror
Collateral Beauty,2010,2,USA,Drama
Allied,2010,3,USA,Action
Billions,2010,3,USA,Drama
Middle School: The Worst Years of My Life,2010,3,USA,Comedy
Meet the Blacks,2010,3,USA,Comedy
A Monster Calls,2010,3,USA,Adventure
Barbershop: The Next Cut,2010,3,USA,Comedy
Dirty Grandpa,2010,2,USA,Comedy
Masterminds,2010,3,USA,Biography
I Had a Bloody Good Time at House Harker,2010,1,USA,Action
Liberty&#39;s Secret,2010,3,USA,Comedy
Women Who Kill,2010,3,USA,Comedy
Courier X,2010,0,USA,Drama
Zoombies,2010,3,USA,Action
Pandemic,2010,3,USA,Action
Ben-Hur,1950,3,USA,Adventure
Nine Lives,2000,3,USA,Drama
Blood Stripe,2010,1,USA,Drama
Don&#39;t Think Twice,2010,3,USA,Comedy
Suicide kale,2010,3,USA,Comedy
Tramps,2010,1,USA,Adventure
"Ticket, The",2010,1,USA,Drama
Lovesong,2010,3,USA,Drama
Sharknado 4: The 4th Awakens,2010,3,USA,Action
American Crime Story,2010,3,USA,Biography
Linefork,2010,3,USA,Documentary
I&#39;m Not Ashamed,2010,3,USA,Biography
Nowhereland,2010,3,USA,Drama
Anthropoid,2010,3,USA,Action
Impostor,2000,0,USA,Drama
Ocean&#39;s Eleven,2000,1,USA,Crime
Artificial Intelligence: AI,2000,1,USA,Adventure
"51st State, The",2000,0,USA,Action
Don&#39;t Say A Word,2000,3,USA,Drama
"Majestic, The",2000,1,USA,Drama
Jason X,2000,3,USA,Action
Along Came A Spider,2000,3,USA,Crime
"Monsters, Inc.",2000,1,USA,Animation
Antitrust,2000,2,USA,Action
Jay and Silent Bob Strike Back,2000,3,USA,Comedy
High Heels and Low Lifes,2000,3,USA,Action
Shrek,2000,1,USA,Animation
Evolution,2000,3,USA,Comedy
Lovely and Amazing,2000,3,USA,Comedy
A Beautiful Mind,2000,1,USA,Biography
Ghost World,2000,3,USA,Comedy
Lagaan - Once Upon a Time in India,2000,3,USA,Drama
Josie and the Pussycats,2000,3,USA,Comedy
"Lord of the Rings: The Fellowship of the Ring, The",2000,1,USA,Action
Ghosts of Mars,2000,3,USA,Action
"Princess Diaries, The",2000,3,USA,Comedy
"Royal Tenenbaums, The",2000,3,USA,Comedy
A Knight&#39;s Tale,2000,2,USA,Action
Lara Croft: Tomb Raider,2000,0,USA,Action
Monsoon Wedding,2000,3,USA,Comedy
Mulholland Dr.,2000,3,USA,Drama
Kissing Jessica Stein,2000,3,USA,Comedy
Black Hawk Down,2000,0,USA,Action
Legally Blonde,2000,3,USA,Comedy
"Mists of Avalon, The",2000,3,USA,Drama
Wit,2000,3,USA,Drama
"Others, The",2000,3,USA,Horror
Spirited Away,2000,3,USA,Animation
Donnie Darko,2000,3,USA,Drama
Waking Life,2000,3,USA,Animation
In the Time of the Butterflies,2000,3,USA,Crime
"Wedding Planner, The",2000,3,USA,Comedy
Gosford Park,2000,3,USA,Comedy
American Outlaws,2000,1,USA,Action
Human Nature,2000,3,USA,Comedy
Atlantis: The Lost Empire,2000,1,USA,Animation
"Mystic Masseur, The",2000,2,USA,Biography
Kate &amp; Leopold,2000,2,USA,Comedy
Zoolander,2000,3,USA,Comedy
Super Troopers,2000,1,USA,Comedy
Moulin Rouge!,2000,3,USA,Drama
Escanaba in da Moonlight,2000,0,USA,Comedy
Harry Potter and the Sorcerer&#39;s Stone,2000,3,USA,Adventure
Spy Kids,2000,3,USA,Action
Manic,2000,3,USA,Drama
Hedwig and the Angry Inch,2000,3,USA,Comedy
Finder&#39;s Fee,2000,1,USA,Drama
Epoch,2000,1,USA,Sci-Fi
Someone Like You...,2000,3,USA,Comedy
Pearl Harbor,2000,2,USA,Action
Wet Hot American Summer,2000,3,USA,Comedy
"Breed, The",2000,0,USA,Action
Jeepers Creepers,2000,3,USA,Horror
Training Day,2000,1,USA,Crime
Dr. Dolittle 2,2000,3,USA,Comedy
Monkeybone,2000,3,USA,Comedy
Shallow Hal,2000,3,USA,Comedy
Amazons and Gladiators,2000,3,USA,Drama
L.I.E.,2000,1,USA,Crime
Hannibal,2000,3,USA,Crime
"One, The",2000,0,USA,Action
Elvira&#39;s Haunted Hills,2000,3,USA,Comedy
Cowboy Bebop: The Movie,2000,3,USA,Animation
Kiss of the Dragon,2000,1,USA,Action
Gypsy 83,2000,3,USA,Drama
Valentine,2000,2,USA,Horror
Vanilla Sky,2000,1,USA,Fantasy
From Hell,2000,3,USA,Horror
Save the Last Dance,2000,3,USA,Drama
Hitched,2000,3,USA,Thriller
Bridget Jones&#39;s Diary,2000,3,USA,Comedy
Blow,2000,1,USA,Biography
Thir13en Ghosts,2000,1,USA,Fantasy
"Glass House, The",2000,3,USA,Crime
Osmosis Jones,2000,3,USA,Animation
"Fast and the Furious, The",1950,3,USA,Crime
I Am Sam,2000,3,USA,Drama
Riding in Cars with Boys,2000,3,USA,Biography
Heartbreakers,2000,3,USA,Comedy
Heist,2000,3,USA,Action
Rat Race,2000,3,USA,Action
Serendipity,2000,3,USA,Comedy
"Atlantis Conspiracy, The",2000,3,USA,Drama
American Pie 2,2000,3,USA,Comedy
Sister Mary Explains it All,2000,3,USA,Comedy
Monster&#39;s Ball,2000,2,USA,Drama
Charlotte Gray,2000,3,USA,Drama
Planet of the Apes,1960,1,USA,Adventure
Jurassic Park III,2000,2,USA,Action
Scary Movie 2,2000,3,USA,Comedy
Swordfish,2000,1,USA,Action
K-PAX,2000,1,USA,Drama
Glitter,2000,3,USA,Drama
"Mummy Returns, The",2000,3,USA,Action
How High,2000,1,USA,Comedy
Not Another Teen Movie,2000,3,USA,Comedy
Recess: School&#39;s Out,2000,3,USA,Animation
"Curse of the Jade Scorpion, The",2000,3,USA,Comedy
Arachnid,2000,3,USA,Action
Jump Tomorrow,2000,3,USA,Comedy
Behind Enemy Lines,2000,0,USA,Action
Rush Hour 2,2000,3,USA,Action
Original Sin,2000,1,USA,Crime
Band of Brothers,2000,1,USA,Drama
In the Bedroom,2000,3,USA,Crime
"Score, The",2000,0,USA,Action
"Mexican, The",2000,1,USA,Adventure
Sweet November,2000,1,USA,Drama
What Makes a Family,2000,3,USA,Drama
Sugar &amp; Spice,2000,3,USA,Comedy
Jimmy Neutron: Boy Genius,2000,3,USA,Animation
Freddy Got Fingered,2000,0,USA,Comedy
Spy Game,2000,1,USA,Action
Final Fantasy: The Spirits Within,2000,1,USA,Animation
"Order, The",2000,0,USA,Action
Zenon: The Zequel,2000,3,USA,Adventure
Frailty,2000,0,USA,Crime
Enemy at the Gates,2000,2,USA,Action
Prozac Nation,2000,3,USA,Biography
"Lost Skeleton of Cadavra, The",2000,3,USA,Comedy
Life as a House,2000,3,USA,Drama
Austin Powers in Goldmember,2000,1,USA,Action
"Transporter, The",2000,0,USA,Action
Ice Age,2000,0,USA,Animation
Men in Black II,2000,1,USA,Action
High Crimes,2000,3,USA,Crime
Minority Report,2000,1,USA,Action
Mr Deeds,2000,2,USA,Comedy
I Spy,2000,1,USA,Action
Insomnia,2000,1,USA,Drama
Phone Booth,2000,1,USA,Crime
"Bourne Identity, The",1980,0,USA,Action
"Adventures of Pluto Nash, The",2000,2,USA,Action
Star Trek: Nemesis,2000,1,USA,Action
S1m0ne,2000,3,USA,Comedy
Equilibrium,2000,1,USA,Action
"Hours, The",2000,3,USA,Drama
Chicago,2000,3,USA,Comedy
Bend It Like Beckham,2000,3,USA,Comedy
"Lord of the Rings: The Two Towers, The",2000,3,USA,Action
"Quiet American, The",2000,2,USA,Drama
Blue Crush,2000,3,USA,Drama
I&#39;m with Lucy,2000,0,USA,Comedy
Catch Me If You Can,2000,2,USA,Biography
28 Days Later...,2000,3,USA,Drama
Star Wars: Episode II - Attack of the Clones,2000,3,USA,Action
Lilo and Stitch,2000,3,USA,Animation
"Ring, The",2000,3,USA,Horror
Is It College Yet?,2000,3,USA,Animation
My Big Fat Greek Wedding,2000,3,USA,Comedy
Ripley&#39;s Game,2000,1,USA,Crime
Divine Secrets of the Ya-Ya Sisterhood,2000,3,USA,Drama
"Santa Clause 2, The",2000,1,USA,Comedy
"Importance of Being Earnest, The",2000,3,USA,Comedy
Tuck Everlasting,2000,3,USA,Drama
"Powerpuff Girls, The",2000,3,USA,Animation
May,2000,3,USA,Drama
Reign of Fire,2000,1,USA,Action
Secretary,2000,3,USA,Comedy
"Rules of Attraction, The",2000,3,USA,Comedy
Ten,2000,3,USA,Drama
Snow Dogs,2000,1,USA,Adventure
Frida,2000,2,USA,Biography
Spider-Man,2000,1,USA,Action
White Oleander,2000,3,USA,Drama
Spy Kids 2: Island of Lost Dreams,2000,3,USA,Action
"Tuxedo, The",2000,0,USA,Action
Adaptation,2000,3,USA,Comedy
Spirit: Stallion of the Cimarron,2000,1,USA,Animation
Treasure Planet,2000,3,USA,Animation
Real Women Have Curves,2000,3,USA,Comedy
Blade II,2000,1,USA,Action
"Good Girl, The",2000,3,USA,Drama
Two Weeks Notice,2000,3,USA,Comedy
xXx,2000,1,USA,Action
Far from Heaven,2000,3,USA,Drama
Harry Potter and the Chamber of Secrets,2000,3,USA,Adventure
Road to Perdition,2000,0,USA,Crime
Cabin Fever,2000,3,USA,Horror
Panic Room,2000,3,USA,Crime
8 Mile,2000,1,USA,Drama
Gangs of New York,2000,1,USA,Crime
Drumline,2000,1,USA,Comedy
Home Room,2000,3,USA,Crime
Red Dragon,2000,1,USA,Crime
Death to Smoochy,2000,2,USA,Comedy
About Schmidt,2000,1,USA,Drama
Spun,2000,3,USA,Comedy
Amandla! A Revolution in Four Part Harmony,2000,3,USA,Documentary
"Banger Sisters, The",2000,3,USA,Comedy
WiseGirls,2000,3,USA,Crime
Scooby-Doo,2000,3,USA,Adventure
Waking Up in Reno,2000,3,USA,Comedy
Carrie,1970,3,USA,Horror
"Sweetest Thing, The",2000,3,USA,Comedy
Die Another Day,2000,2,USA,Action
Funny Ha Ha,2000,3,USA,Comedy
Maid in Manhattan,2000,3,USA,Comedy
"Dangerous Lives of Altar Boys, The",2000,1,USA,Comedy
Maggie and Annie,2000,3,USA,Drama
Queen of the Damned,2000,3,USA,Drama
Crossroads,2000,3,USA,Comedy
Igby Goes Down,2000,2,USA,Comedy
Naqoyqatsi,2000,0,USA,Documentary
Bang Bang You&#39;re Dead,2000,1,USA,Crime
Gerry,2000,0,USA,Adventure
Solaris,2000,1,USA,Drama
Cypher,2000,1,USA,Mystery
We Were Soldiers,2000,3,USA,Action
Antwone Fisher,2000,1,USA,Biography
25th Hour,2000,2,USA,Drama
"Hot Chick, The",2000,3,USA,Comedy
Signs,2000,1,USA,Drama
Punch-Drunk Love,2000,1,USA,Comedy
A Walk to Remember,2000,3,USA,Drama
Undercover Brother,2000,3,USA,Action
They,2000,3,USA,Horror
Teknolust,2000,3,USA,Comedy
Below,2000,0,USA,Action
Moonlight Mile,2000,3,USA,Drama
"Pianist, The",2000,1,USA,Biography
"Master of Disguise, The",2000,1,USA,Adventure
Confessions of a Dangerous Mind,2000,2,USA,Biography
"Mothman Prophecies, The",2000,2,USA,Drama
Life or Something Like It,2000,3,USA,Comedy
Charlotte Sometimes,2000,2,USA,Drama
One Hour Photo,2000,1,USA,Drama
"Wild Thornberrys Movie, The",2000,3,USA,Animation
"Rats, The",2000,3,USA,Drama
Cadet Kelly,2000,3,USA,Comedy
Time Changer,2000,0,USA,Drama
"Scorpion King, The",2000,0,USA,Action
Unfaithful,2000,3,USA,Drama
K-19: The Widowmaker,2000,0,USA,Drama
"Vagina Monologues, The",2000,0,USA,Documentary
Sweet Home Alabama,2000,3,USA,Comedy
About a Boy,2000,2,USA,Comedy
Dragonfly,2000,1,USA,Drama
Rose Red,2000,3,USA,Horror
Windtalkers,2000,0,USA,Action
Hable con ella [Talk to Her],2000,3,USA,Drama
Friday After Next,2000,2,USA,Comedy
Femme Fatale,2000,3,USA,Crime
Cheats,2000,3,USA,Comedy
"Slap Her, She&#39;s French!",2000,3,USA,Comedy
Ghost Ship,2000,3,USA,Horror
A Ring of Endless Light,2000,3,USA,Drama
Get a Clue,2000,3,USA,Comedy
Tru Confessions,2000,3,USA,Comedy
Ben &amp; Arthur,2000,1,USA,Drama
"Time Machine, The",1960,0,USA,Adventure
Enough,2000,2,USA,Crime
"Sum of All Fears, The",2000,1,USA,Action
Brown  Sugar,2000,2,USA,Comedy
Dummy,2000,3,USA,Comedy
Big Fat Liar,2000,3,USA,Adventure
Hysterical Blindness,2000,3,USA,Drama
Bad Company,2000,1,USA,Action
Apartment #5C,2000,3,USA,Thriller
Big Trouble,2000,3,USA,Comedy
Jackass: The Movie,2000,0,USA,Documentary
Angels in America,2000,3,USA,Drama
S.W.A.T.,2000,3,USA,Action
Runaway Jury,2000,1,USA,Crime
"Italian Job, The",2000,1,USA,Action
Underworld,2000,3,USA,Action
"Recruit, The",2000,1,USA,Action
"Matrix Reloaded, The",2000,2,USA,Action
"Matrix Revolutions, The",2000,3,USA,Action
X2 (X-Men 2),2000,3,USA,Action
Shanghai Knights,2000,1,USA,Action
Identity,2000,1,USA,Mystery
Bruce Almighty,2000,3,USA,Comedy
"Lord of the Rings: The Return of the King, The",2000,1,USA,Action
Monster,2000,3,USA,Biography
Calendar Girls,2000,3,USA,Comedy
"Core, The",2000,3,USA,Action
Scary Movie 3,2000,3,USA,Comedy
Lara Croft Tomb Raider: The Cradle of Life,2000,3,USA,Action
Kill Bill: Vol. 1,2000,3,USA,Action
Pirates of the Caribbean: The Curse of the Black Pearl,2000,3,USA,Action
Uptown Girls,2000,3,USA,Comedy
Finding Nemo,2000,1,USA,Animation
Love Actually,2000,3,USA,Comedy
"Room, The",2000,3,USA,Drama
Master and Commander: The Far Side of the World,2000,0,USA,Action
Under the Tuscan Sun,2000,3,USA,Comedy
Sinbad: Legend of the Seven Seas,2000,2,USA,Animation
Lost In Translation,2000,3,USA,Comedy
"Jungle Book 2, The",2000,0,USA,Animation
Hollywood Homicide,2000,1,USA,Action
Holes,2000,2,USA,Adventure
How to Lose a Guy in 10 Days,2000,3,USA,Comedy
Girls Will Be Girls,2000,3,USA,Comedy
View from the Top,2000,3,USA,Comedy
Freaky Friday,1970,3,USA,Comedy
Cold Mountain,2000,3,USA,Adventure
Mona Lisa Smile,2000,3,USA,Drama
Rats,2000,3,USA,Horror
Down With Love,2000,3,USA,Comedy
"Last Samurai, The",2000,0,USA,Action
"Missing, The",2000,3,USA,Adventure
"Legally Blonde 2: Red, White &amp; Blonde",2000,3,USA,Comedy
Spy Kids 3-D: Game Over,2000,3,USA,Action
Le divorce,2000,3,USA,Comedy
"League of Extraordinary Gentlemen, The",2000,0,USA,Action
Dead Like Me,2000,3,USA,Comedy
Daredevil,2000,0,USA,Action
In the Cut,2000,3,USA,Mystery
Thirteen,2000,3,USA,Drama
Big Fish,2000,1,USA,Adventure
Something&#39;s Gotta Give,2000,3,USA,Comedy
Prey for Rock &amp; Roll,2000,3,USA,Drama
Shattered Glass,2000,2,USA,Drama
Sunset Story,2000,3,USA,Documentary
House of Sand and Fog,2000,3,USA,Crime
Final Destination 2,2000,3,USA,Horror
Casa de los babys,2000,3,USA,Drama
Secondhand Lions,2000,1,USA,Comedy
"Dreamers, The",2000,2,USA,Drama
Tough Luck,2000,0,USA,Thriller
Girl with a Pearl Earring,2000,3,USA,Biography
Peter Pan,1950,3,USA,Animation
It&#39;s Better to Be Wanted for Murder Than Not to Be Wanted at All,2000,1,USA,N/A
Hulk,2000,1,USA,Action
Charlie&#39;s Angels: Full Throttle,2000,3,USA,Action
"School of Rock, The",2000,3,USA,Comedy
Jeepers Creepers II,2000,3,USA,Horror
Terminator 3: Rise of the Machines,2000,3,USA,Action
Wrong Turn,2000,3,USA,Horror
Daddy Day Care,2000,3,USA,Comedy
Mystic River,2000,3,USA,Crime
Dreamcatcher,2000,0,USA,Drama
Coffee and Cigarettes,2000,3,USA,Comedy
Cradle 2 the Grave,2000,1,USA,Action
Camp,2000,3,USA,Comedy
Timeline,2000,1,USA,Action
Pride and Prejudice,1940,3,USA,Comedy
Malibu Spring Break,2000,3,USA,Comedy
2 Fast 2 Furious,2000,1,USA,Action
21 grams,2000,3,USA,Crime
Darkness Falls,2000,1,USA,Fantasy
House of the Dead,2000,2,USA,Action
Elephant,2000,3,USA,Crime
Gothika,2000,3,USA,Horror
High Roller: The Stu Ungar Story,2000,3,USA,Biography
My Boss&#39;s Daughter,2000,3,USA,Comedy
Basic,2000,3,USA,Crime
Intolerable Cruelty,2000,3,USA,Comedy
An Unexpected Love,2000,3,USA,Drama
"Lizzie McGuire Movie, The",2000,3,USA,Adventure
"Station Agent, The",2000,3,USA,Comedy
Rugrats Go Wild,2000,3,USA,Animation
Once Upon a Time in Mexico,2000,1,USA,Action
Johnny English,2000,1,USA,Action
Robot Stories,2000,3,USA,Drama
Old School,2000,2,USA,Comedy
"Cheetah Girls , The",2000,3,USA,Comedy
Soldier&#39;s Girl,2000,3,USA,Biography
Brother Bear,2000,0,USA,Animation
House of 1000 Corpses,2000,3,USA,Horror
What a Girl Wants,2000,1,USA,Comedy
Hot Wheels: World Race Highway 35,2000,1,USA,Animation
Bad Santa,2000,0,USA,Comedy
Elf,2000,1,USA,Adventure
Freddy vs. Jason,2000,3,USA,Action
Open Water,2000,1,USA,Adventure
Off the Map,2000,3,USA,Drama
Anger Management,2000,1,USA,Comedy
Kangaroo Jack,2000,1,USA,Action
April&#39;s Shower,2000,3,USA,Comedy
Right on Track,2000,3,USA,Biography
Cheaper by the Dozen,2000,1,USA,Comedy
Tears of the Sun,2000,3,USA,Action
Paycheck,2000,2,USA,Action
In Hell,2000,0,USA,Action
Gigli,2000,0,USA,Comedy
"Brown Bunny, The",2000,3,USA,Drama
Pokemon: Jirachi - Wish Maker,2000,3,USA,Animation
"Cat in the Hat, The",2000,3,USA,Adventure
Bad Boys II,2000,1,USA,Action
"Hebrew Hammer, The",2000,2,USA,Comedy
And Starring Pancho Villa as Himself,2000,0,USA,Biography
"I, Robot",2000,1,USA,Action
"Incredibles, The",2000,3,USA,Animation
"Day After Tomorrow, The",2000,3,USA,Action
"Butterfly Effect, The",2000,2,USA,Drama
"Bourne Supremacy, The",2000,2,USA,Action
"Whole Ten Yards, The",2000,1,USA,Comedy
Eternal Sunshine of the Spotless Mind,2000,2,USA,Drama
Kinsey,2000,3,USA,Biography
Shrek 2,2000,3,USA,Animation
Mean Girls,2020,3,USA,Comedy
Harold and Kumar Go to White Castle,2000,3,USA,Adventure
Hauru no ugoku shiro (Howl's Moving Castle),2000,3,USA,Animation
Resident Evil: Apocalypse,2000,3,USA,Action
Wimbledon,2000,3,USA,Comedy
Anchorman: The Legend of Ron Burgundy,2000,3,USA,Comedy
Flight of the Phoenix,2000,0,USA,Action
Ocean's Twelve,2000,2,USA,Crime
Kill Bill: Vol. 2,2000,3,USA,Action
D.E.B.S.,2000,3,USA,Action
Iron Jawed Angels,2000,3,USA,Biography
Saved!,2000,3,USA,Comedy
Sky Captain and the World of Tomorrow,2000,3,USA,Action
Spanglish,2000,3,USA,Comedy
A Dirty Shame,2000,3,USA,Comedy
"Notebook, The",2000,3,USA,Drama
Saw,2000,2,USA,Horror
Ella Enchanted,2000,3,USA,Comedy
I Heart Huckabees,2000,3,USA,Comedy
Born Into Brothels: Calcutta&#39;s Red Light Kids,2000,3,USA,Documentary
Troy,2000,1,USA,Adventure
Van Helsing,2000,3,USA,Action
Shaun of the Dead,2000,3,USA,Comedy
"Princess Diaries 2: Royal Engagement, The",2000,3,USA,Comedy
Catwoman,2000,3,USA,Action
Double Dare,2000,3,USA,Documentary
Primer,2000,1,USA,Drama
50 First Dates,2000,2,USA,Comedy
Speak,2000,3,USA,Drama
Say Yes Quickly,2000,3,USA,Comedy
"Stepford Wives, The",1970,3,USA,Horror
Million Dollar Baby,2000,3,USA,Drama
Around the World in 80 Days,2000,1,USA,Action
In Good Company,2000,1,USA,Comedy
"Chronicles of Riddick, The",2000,2,USA,Action
Miracle,2000,1,USA,Biography
A Christmas Carol: The Musical,2000,1,USA,Drama
A Very Long Engagement,2000,3,USA,Drama
Spider-Man 2,2000,1,USA,Action
A Cinderella Story,2000,3,USA,Comedy
Finding Neverland,2000,3,USA,Biography
Closer,2000,3,USA,Drama
"Terminal, The",2000,1,USA,Comedy
Lemony Snicket&#39;s A Series of Unfortunate Events,2000,3,USA,Adventure
AVP: Alien vs. Predator,2000,3,USA,Action
Sideways,2000,3,USA,Comedy
Garden State,2000,3,USA,Comedy
Napoleon Dynamite,2000,1,USA,Comedy
Harry Potter and the Prisoner of  Azkaban,2000,3,USA,Adventure
Team America: World Police,2000,2,USA,Action
A Good Woman,2000,3,USA,Drama
"Phantom of the Opera, The",2000,2,USA,Drama
A Home at the End of The World,2000,3,USA,Drama
Palindromes,2000,1,USA,Comedy
Collateral,2000,1,USA,Action
Saving Face,2000,3,USA,Comedy
Vera Drake,2000,3,USA,Crime
Mysterious Skin,2000,1,USA,Drama
Cellular,2000,3,USA,Action
"Final Cut, The",2000,2,USA,Drama
Ray,2000,3,USA,Biography
Dawn of the Dead,1970,0,USA,Horror
New York Minute,2000,3,USA,Adventure
"Aviator, The",2000,1,USA,Biography
Maria Full of Grace,2000,3,USA,Crime
A Love Song for Bobby Long,2000,3,USA,Drama
"Third Society, The",2000,1,USA,Action
Scooby Doo 2: Monsters Unleashed,2000,3,USA,Adventure
Raising Helen,2000,3,USA,Comedy
Kung Fu Hustle,2000,0,USA,Action
Crash,2000,3,USA,Crime
"Grudge, The",2000,3,USA,Horror
13 Going on 30,2000,3,USA,Comedy
"Polar Express, The",2000,1,USA,Animation
Layer Cake,2000,1,USA,Action
Connie and Carla,2000,3,USA,Comedy
White Chicks,2000,3,USA,Comedy
Hellboy,2000,1,USA,Action
Crimes of Fashion,2000,3,USA,Comedy
"Life Aquatic with Steve Zissou, The",2000,2,USA,Action
Home on the Range,2000,3,USA,Animation
Taxi,2000,3,USA,Action
Eulogy,2000,3,USA,Comedy
Secret Window,2000,1,USA,Drama
Raise Your Voice,2000,3,USA,Family
Bride and Prejudice,2000,3,USA,Comedy
"Village, The",2000,3,USA,Drama
Bridget Jones: The Edge of Reason,2000,3,USA,Comedy
Shark Tale,2000,1,USA,Animation
Before Sunset,2000,0,USA,Drama
Dodgeball: A True Underdog Story,2000,3,USA,Comedy
Meet the Fockers,2000,3,USA,Comedy
National Treasure,2000,2,USA,Action
Jennifer&#39;s Shadow,2000,3,USA,Horror
"Librarian: Quest for the Spear, The",2000,3,USA,Action
After the Sunset,2000,3,USA,Action
Taking Lives,2000,2,USA,Crime
Jersey Girl,2000,2,USA,Comedy
"Perfect Score, The",2000,3,USA,Comedy
She Hate Me,2000,2,USA,Comedy
Being Julia,2000,3,USA,Comedy
Alexander,2000,1,USA,Action
Christmas with the Kranks,2000,3,USA,Comedy
Swades,2000,3,USA,Drama
Without a Paddle,2000,3,USA,Adventure
Puppet Master vs Demonic Toys,2000,3,USA,Comedy
Mango Kiss,2000,3,USA,Comedy
"Prince and Me, The",2000,1,USA,Comedy
All the Ships at Sea,2000,3,USA,Drama
"Door in the Floor, The",2000,1,USA,Comedy
"Assassination of Richard Nixon, The",2000,1,USA,Biography
Yu-Gi-Oh!: The Movie,2000,0,USA,Animation
Stage Beauty,2000,2,USA,Drama
"SpongeBob SquarePants Movie, The",2000,3,USA,Animation
Sleepover,2000,3,USA,Comedy
A Separate Peace,2000,0,USA,Drama
House of D,2000,1,USA,Comedy
Mindhunters,2000,1,USA,Crime
One Point O,2000,1,USA,Drama
Dirty Dancing: Havana Nights,2000,3,USA,Drama
Blade: Trinity,2000,3,USA,Action
"Passion of the Christ, The",2000,3,USA,Drama
Stuck in the Suburbs,2000,3,USA,Comedy
Soul Plane,2000,3,USA,Comedy
Pokemon the Movie: Destiny Deoxys,2000,1,USA,Animation
Walking Tall,2000,1,USA,Action
Confessions of Teenage Drama Queen,2000,3,USA,Comedy
Skeleton Man,2000,3,USA,Action
EuroTrip,2000,1,USA,Comedy
Thunderbirds,2000,3,USA,Action
Garfield,2000,0,USA,Adventure
"Motorcycle Diaries, The",2000,1,USA,Adventure
Hotel Rwanda,2000,2,USA,Biography
You Got Served,2000,3,USA,Drama
Seed of Chucky,2000,3,USA,Comedy
"Pleasure Drivers, The",2000,3,USA,Crime
Batman Begins,2000,1,USA,Action
Sin City,2000,3,USA,Crime
"Hitchhiker&#39;s Guide to the Galaxy, The",2000,1,USA,Adventure
V for Vendetta,2000,3,USA,Action
Robots,2000,1,USA,Animation
Walk the Line,2000,3,USA,Biography
Assault on Precinct 13,1970,3,USA,Action
Kiss Kiss Bang Bang,2000,1,USA,Comedy
Jarhead,2000,0,USA,Biography
Transamerica,2000,3,USA,Adventure
Herbie Fully Loaded,2000,3,USA,Adventure
Junebug,2000,3,USA,Comedy
Man of the House,2000,3,USA,Comedy
Thank You for Smoking,2000,1,USA,Comedy
Hard Candy,2000,3,USA,Drama
"Good Night, and Good Luck.",2000,1,USA,Biography
Hide and Seek,2000,3,USA,Horror
"Island, The",2000,3,USA,Action
Brick,2000,1,USA,Crime
Conversations with Other Women,2000,0,USA,Comedy
Star Wars: Episode III - Revenge of the Sith,2000,1,USA,Action
King Kong,1930,0,USA,Adventure
Imagine Me &amp;amp; You,2000,3,USA,Comedy
North Country,2000,3,USA,Drama
Oliver Twist,2000,1,USA,Crime
"40 Year Old Virgin, The",2000,3,USA,Comedy
"Skeleton Key, The",2000,3,USA,Drama
Broken Flowers,2000,3,USA,Comedy
Casanova,1980,2,USA,Comedy
"Legend of Zorro, The",2000,1,USA,Action
War of the Worlds,2000,3,USA,Action
Miss Congeniality 2: Armed &amp; Fabulous,2000,3,USA,Action
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The",2000,3,USA,Adventure
Factotum,2000,1,USA,Comedy
Saw II,2000,3,USA,Horror
Doom,2000,1,USA,Action
Kingdom of Heaven,2000,0,USA,Action
"Muppets&#39; Wizard of Oz, The",2000,3,USA,Adventure
"New World, The",2000,3,USA,Biography
"Mostly Unfabulous Social Life of Ethan Green, The",2000,3,USA,Comedy
Corpse Bride,2000,3,USA,Animation
Just Like Heaven,2000,3,USA,Comedy
AEon Flux,2000,3,USA,Action
"Constant Gardener, The",2000,3,USA,Drama
In Her Shoes,2000,3,USA,Comedy
"Squid and the Whale, The",2000,2,USA,Comedy
Waiting...,2000,3,USA,Comedy
