decada,nacionalidade,%nota0,%nota1,%nota2,%nota3
2010,USA,6.219426974143955,19.28721174004193,9.713487071977637,64.77987421383648
2010,Others,0.0,0.0,0.0,0.0
2000,USA,8.535031847133757,22.29299363057325,10.445859872611466,58.72611464968153
2000,Others,0.0,0.0,0.0,0.0
1990,USA,7.5706214689265545,26.666666666666668,12.429378531073446,53.333333333333336
1990,Others,0.0,0.0,0.0,0.0
1940,USA,13.861386138613863,21.287128712871286,14.356435643564355,50.495049504950494
1940,Others,0.0,0.0,0.0,0.0
2020,USA,5.871212121212121,13.446969696969695,8.712121212121213,71.96969696969697
2020,Others,0.0,0.0,0.0,0.0
1930,USA,11.176470588235295,18.823529411764707,22.35294117647059,47.647058823529406
1930,Others,0.0,0.0,0.0,0.0
1950,USA,16.055045871559635,22.93577981651376,16.972477064220186,44.03669724770643
1950,Others,0.0,0.0,0.0,0.0
1980,USA,11.76470588235294,23.137254901960784,12.549019607843137,52.54901960784314
1980,Others,0.0,0.0,0.0,0.0
1960,USA,14.220183486238533,25.229357798165136,15.137614678899084,45.412844036697244
1960,Others,0.0,0.0,0.0,0.0
1970,USA,12.099644128113878,28.825622775800714,13.523131672597867,45.55160142348754
1970,Others,0.0,0.0,0.0,0.0
