decada,nacionalidade,%nota0,%nota1,%nota2,%nota3
1950,USA,0.0,0.0,0.0,0.0
1950,Others,10.0,19.0,12.0,59.0
1960,USA,0.0,0.0,0.0,0.0
1960,Others,21.120689655172413,27.155172413793103,7.758620689655173,43.96551724137931
1990,USA,0.0,0.0,0.0,0.0
1990,Others,14.130434782608695,20.28985507246377,7.608695652173914,57.971014492753625
1970,USA,0.0,0.0,0.0,0.0
1970,Others,17.857142857142858,25.0,12.755102040816327,44.38775510204081
1940,USA,0.0,0.0,0.0,0.0
1940,Others,17.77777777777778,11.11111111111111,17.77777777777778,53.333333333333336
2010,USA,0.0,0.0,0.0,0.0
2010,Others,10.899182561307901,19.618528610354225,7.7656675749318795,61.71662125340599
1980,USA,0.0,0.0,0.0,0.0
1980,Others,19.072164948453608,22.68041237113402,11.855670103092782,46.391752577319586
2000,USA,0.0,0.0,0.0,0.0
2000,Others,9.014084507042254,19.43661971830986,8.169014084507042,63.38028169014085
2020,USA,0.0,0.0,0.0,0.0
2020,Others,7.960199004975125,21.393034825870647,6.965174129353234,63.681592039801
1930,USA,0.0,0.0,0.0,0.0
1930,Others,11.76470588235294,26.47058823529412,14.705882352941178,47.05882352941176
