movie,decade,rating,country,genre
Maria Full of Grace,2000,3,USA,"Crime, Drama"
A Love Song for Bobby Long,2000,3,USA,Drama
"Third Society, The",2000,1,USA,"Action, Comedy"
Scooby Doo 2: Monsters Unleashed,2000,3,USA,"Adventure, Comedy, Family"
Raising Helen,2000,3,USA,"Comedy, Drama, Romance"
Kung Fu Hustle,2000,0,USA,"Action, Comedy, Fantasy"
Crash,2000,3,USA,"Crime, Drama, Thriller"
"Grudge, The",2000,3,USA,"Horror, Mystery, Thriller"
13 Going on 30,2000,3,USA,"Comedy, Fantasy, Romance"
"Polar Express, The",2000,1,USA,"Animation, Adventure, Comedy"
Layer Cake,2000,1,USA,"Action, Crime, Drama"
Connie and Carla,2000,3,USA,"Comedy, Crime, Music"
White Chicks,2000,3,USA,"Comedy, Crime"
Hellboy,2000,1,USA,"Action, Adventure, Fantasy"
Crimes of Fashion,2000,3,USA,Comedy
"Life Aquatic with Steve Zissou, The",2000,2,USA,"Action, Adventure, Comedy"
Home on the Range,2000,3,USA,"Animation, Adventure, Comedy"
Taxi,2000,3,USA,"Action, Comedy, Crime"
Eulogy,2000,3,USA,"Comedy, Drama"
Secret Window,2000,1,USA,"Drama, Mystery, Thriller"
Raise Your Voice,2000,3,USA,"Family, Music, Musical"
Bride and Prejudice,2000,3,USA,"Comedy, Drama, Musical"
"Village, The",2000,3,USA,"Drama, Mystery, Thriller"
Bridget Jones: The Edge of Reason,2000,3,USA,"Comedy, Drama, Romance"
Shark Tale,2000,1,USA,"Animation, Adventure, Comedy"
Before Sunset,2000,0,USA,"Drama, Romance"
Dodgeball: A True Underdog Story,2000,3,USA,"Comedy, Sport"
Meet the Fockers,2000,3,USA,"Comedy, Romance"
National Treasure,2000,2,USA,"Action, Adventure, Mystery"
Jennifer&#39;s Shadow,2000,3,USA,"Horror, Mystery, Thriller"
"Librarian: Quest for the Spear, The",2000,3,USA,"Action, Adventure, Comedy"
After the Sunset,2000,3,USA,"Action, Comedy, Crime"
Taking Lives,2000,2,USA,"Crime, Mystery, Thriller"
Jersey Girl,2000,2,USA,"Comedy, Drama, Romance"
"Perfect Score, The",2000,3,USA,"Comedy, Crime, Drama"
She Hate Me,2000,2,USA,"Comedy, Drama"
Being Julia,2000,3,USA,"Comedy, Drama, Romance"
Alexander,2000,1,USA,"Action, Biography, Drama"
Christmas with the Kranks,2000,3,USA,"Comedy, Family"
Swades,2000,3,USA,"Drama, Musical"
Without a Paddle,2000,3,USA,"Adventure, Comedy, Mystery"
Puppet Master vs Demonic Toys,2000,3,USA,"Comedy, Fantasy, Horror"
Mango Kiss,2000,3,USA,"Comedy, Romance"
"Prince and Me, The",2000,1,USA,"Comedy, Family, Romance"
All the Ships at Sea,2000,3,USA,Drama
"Door in the Floor, The",2000,1,USA,"Comedy, Drama"
"Assassination of Richard Nixon, The",2000,1,USA,"Biography, Crime, Drama"
Yu-Gi-Oh!: The Movie,2000,0,USA,"Animation, Action, Adventure"
Stage Beauty,2000,2,USA,Drama
"SpongeBob SquarePants Movie, The",2000,3,USA,"Animation, Adventure, Comedy"
Sleepover,2000,3,USA,"Comedy, Family, Romance"
A Separate Peace,2000,0,USA,"Drama, War"
House of D,2000,1,USA,"Comedy, Drama"
Mindhunters,2000,1,USA,"Crime, Horror, Thriller"
One Point O,2000,1,USA,"Drama, Horror, Mystery"
Dirty Dancing: Havana Nights,2000,3,USA,"Drama, Music, Romance"
Blade: Trinity,2000,3,USA,"Action, Horror, Sci-Fi"
"Passion of the Christ, The",2000,3,USA,Drama
Stuck in the Suburbs,2000,3,USA,"Comedy, Family, Music"
Soul Plane,2000,3,USA,Comedy
Pokemon the Movie: Destiny Deoxys,2000,1,USA,"Animation, Action, Adventure"
Walking Tall,2000,1,USA,"Action, Crime"
Confessions of Teenage Drama Queen,2000,3,USA,"Comedy, Family, Music"
Skeleton Man,2000,3,USA,"Action, Horror, Thriller"
EuroTrip,2000,1,USA,Comedy
Thunderbirds,2000,3,USA,"Action, Adventure, Comedy"
Garfield,2000,0,USA,"Adventure, Comedy, Family"
"Motorcycle Diaries, The",2000,1,USA,"Adventure, Biography, Drama"
Hotel Rwanda,2000,2,USA,"Biography, Drama, History"
You Got Served,2000,3,USA,"Drama, Music"
Seed of Chucky,2000,3,USA,"Comedy, Horror, Thriller"
"Pleasure Drivers, The",2000,3,USA,"Crime, Drama, Thriller"
Batman Begins,2000,1,USA,"Action, Crime, Drama"
Sin City,2000,3,USA,"Crime, Thriller"
"Hitchhiker&#39;s Guide to the Galaxy, The",2000,1,USA,"Adventure, Comedy, Sci-Fi"
V for Vendetta,2000,3,USA,"Action, Drama, Sci-Fi"
Robots,2000,1,USA,"Animation, Adventure, Comedy"
Walk the Line,2000,3,USA,"Biography, Drama, Music"
Assault on Precinct 13,1970,3,USA,"Action, Crime, Thriller"
Kiss Kiss Bang Bang,2000,1,USA,"Comedy, Crime, Mystery"
Jarhead,2000,0,USA,"Biography, Drama, War"
Transamerica,2000,3,USA,"Adventure, Comedy, Drama"
Herbie Fully Loaded,2000,3,USA,"Adventure, Comedy, Family"
Junebug,2000,3,USA,"Comedy, Drama"
Man of the House,2000,3,USA,"Comedy, Crime"
Thank You for Smoking,2000,1,USA,"Comedy, Drama"
Hard Candy,2000,3,USA,"Drama, Thriller"
"Good Night, and Good Luck.",2000,1,USA,"Biography, Drama, History"
Hide and Seek,2000,3,USA,"Horror, Mystery"
"Island, The",2000,3,USA,"Action, Sci-Fi, Thriller"
Brick,2000,1,USA,"Crime, Drama, Mystery"
Conversations with Other Women,2000,0,USA,"Comedy, Drama, Romance"
Star Wars: Episode III - Revenge of the Sith,2000,1,USA,"Action, Adventure, Fantasy"
King Kong,1930,0,USA,"Adventure, Horror"
Imagine Me &amp;amp; You,2000,3,USA,"Comedy, Drama, Romance"
North Country,2000,3,USA,Drama
Oliver Twist,2000,1,USA,"Crime, Drama"
"40 Year Old Virgin, The",2000,3,USA,"Comedy, Romance"
"Skeleton Key, The",2000,3,USA,"Drama, Horror, Mystery"
Broken Flowers,2000,3,USA,"Comedy, Drama, Mystery"
Casanova,1980,2,USA,"Comedy, Romance"
"Legend of Zorro, The",2000,1,USA,"Action, Adventure, Romance"
War of the Worlds,2000,3,USA,"Action, Adventure, Sci-Fi"
Miss Congeniality 2: Armed &amp; Fabulous,2000,3,USA,"Action, Comedy, Crime"
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The",2000,3,USA,"Adventure, Family, Fantasy"
Factotum,2000,1,USA,"Comedy, Drama, Romance"
Saw II,2000,3,USA,"Horror, Mystery"
Doom,2000,1,USA,"Action, Horror, Sci-Fi"
Kingdom of Heaven,2000,0,USA,"Action, Adventure, Drama"
"Muppets&#39; Wizard of Oz, The",2000,3,USA,"Adventure, Comedy, Family"
"New World, The",2000,3,USA,"Biography, Drama, History"
"Mostly Unfabulous Social Life of Ethan Green, The",2000,3,USA,"Comedy, Romance"
Corpse Bride,2000,3,USA,"Animation, Comedy, Drama"
Just Like Heaven,2000,3,USA,"Comedy, Drama, Fantasy"
AEon Flux,2000,3,USA,"Action, Adventure, Sci-Fi"
"Constant Gardener, The",2000,3,USA,"Drama, Mystery, Romance"
In Her Shoes,2000,3,USA,"Comedy, Drama, Romance"
"Squid and the Whale, The",2000,2,USA,"Comedy, Drama"
Waiting...,2000,3,USA,Comedy
Sky High,2000,3,USA,"Action, Comedy, Family"
"Jacket, The",2000,2,USA,"Drama, Fantasy, Mystery"
"Adventures of Sharkboy and Lavagirl 3-D, The",2000,1,USA,"Action, Adventure, Comedy"
Danny the dog,2000,1,USA,"Action, Crime, Thriller"
"Sisterhood of the Traveling Pants, The",2000,3,USA,"Comedy, Drama, Romance"
Mrs Palfrey at The Claremont,2000,3,USA,"Comedy, Drama"
"Call of Cthulhu, The",2000,0,USA,"Horror, Mystery"
Brokeback Mountain,2000,2,USA,"Drama, Romance"
Lord of War,2000,2,USA,"Crime, Drama"
Me and You and Everyone We Know,2000,3,USA,"Comedy, Drama"
Enron: The Smartest Guys in the Room,2000,1,USA,"Documentary, Biography, History"
Wedding Crashers,2000,3,USA,"Comedy, Romance"
Red Eye,2000,3,USA,Thriller
Shopgirl,2000,2,USA,"Drama, Romance"
Domino,2000,3,USA,"Action, Biography, Crime"
Kinky Boots,2000,3,USA,"Comedy, Drama, Music"
Harry Potter and the Goblet of Fire,2000,1,USA,"Adventure, Family, Fantasy"
Cinderella Man,2000,2,USA,"Biography, Drama, Romance"
Happy Endings,2000,3,USA,"Comedy, Drama, Music"
Rent,2000,3,USA,"Drama, Musical, Romance"
Charlie and the Chocolate Factory,2000,3,USA,"Adventure, Comedy, Family"
Flightplan,2000,3,USA,"Drama, Mystery, Thriller"
Strangers with Candy,2000,3,USA,Comedy
Fun with Dick and Jane,2000,3,USA,"Comedy, Crime"
Dark Water,2000,3,USA,"Drama, Horror, Mystery"
"Ballad of Jack and Rose, The",2000,3,USA,Drama
Coach Carter,2000,3,USA,"Biography, Drama, Sport"
Hoodwinked!,2000,3,USA,"Animation, Adventure, Comedy"
Madagascar,2000,0,USA,"Animation, Adventure, Comedy"
Isolation,2000,1,USA,"Horror, Sci-Fi, Thriller"
Memoirs of a Geisha,2000,3,USA,"Drama, Romance"
Hustle &amp; Flow,2000,3,USA,"Crime, Drama, Music"
MirrorMask,2000,3,USA,"Drama, Fantasy"
Proof,2000,3,USA,"Drama, Mystery"
Mr. &amp; Mrs. Smith,2000,2,USA,"Action, Comedy, Crime"
"Devil&#39;s Rejects, The",2000,3,USA,"Crime, Drama, Horror"
House of the Dead 2,2000,3,USA,"Action, Comedy, Horror"
"Ring Two, The",2000,3,USA,"Horror, Mystery"
Ice Princess,2000,3,USA,"Comedy, Drama, Family"
Constantine,2000,1,USA,"Action, Fantasy, Horror"
Hostel,2000,1,USA,Horror
"Yours, Mine and Ours",2000,3,USA,"Comedy, Family, Romance"
"Wedding Date, The",2000,3,USA,"Comedy, Romance"
Capote,2000,3,USA,"Biography, Crime, Drama"
Beauty Shop,2000,3,USA,Comedy
Match Point,2000,3,USA,"Drama, Romance, Thriller"
Hitch,2000,2,USA,"Comedy, Romance"
Kids in America,2000,3,USA,Comedy
Must Love Dogs,2000,2,USA,"Comedy, Romance"
Twelve and Holding,2000,3,USA,Drama
BloodRayne,2000,3,USA,"Action, Fantasy, Horror"
Rumor Has It...,2000,3,USA,"Comedy, Drama, Romance"
Stealth,2000,1,USA,"Action, Adventure, Sci-Fi"
Vampire Bats,2000,3,USA,"Action, Adventure, Horror"
Hate Crime,2000,2,USA,"Crime, Drama, Mystery"
"Fog, The",1980,3,USA,"Horror, Thriller"
Adam &amp; Steve,2000,3,USA,"Comedy, Drama, Music"
Munich,2000,1,USA,"Action, Drama, History"
"Exorcism of Emily Rose, The",2000,3,USA,"Drama, Horror, Thriller"
Bewitched,2000,3,USA,"Comedy, Fantasy, Romance"
"Three Burials of Melquiades Estrada, The",2000,3,USA,"Adventure, Crime, Drama"
Cursed,2000,3,USA,"Comedy, Horror"
Son of the Mask,2000,1,USA,"Comedy, Family, Fantasy"
Boynton Beach Club,2000,3,USA,"Comedy, Romance"
White Noise,2020,3,USA,"Comedy, Drama, Horror"
Keeping Mum,2000,3,USA,"Comedy, Crime"
Transporter 2,2000,1,USA,"Action, Crime, Thriller"
Boogeyman,2000,2,USA,"Drama, Horror, Mystery"
Sweet Land,2000,3,USA,"Drama, Romance"
Die You Zombie Bastards!,2000,1,USA,"Comedy, Fantasy, Horror"
Mortuary,2000,3,USA,"Horror, Mystery, Thriller"
Lords of Dogtown,2000,2,USA,"Biography, Drama, Sport"
Zathura: A Space Adventure,2000,0,USA,"Action, Adventure, Comedy"
Valiant,2000,1,USA,"Animation, Adventure, Comedy"
Swimmers,2000,3,USA,Drama
Romance &amp; Cigarettes,2000,3,USA,"Comedy, Musical, Romance"
Bad Reputation,2000,3,USA,"Drama, Horror, Thriller"
A History of Violence,2000,3,USA,"Action, Crime, Drama"
"Prize Winner of Defiance, Ohio, The",2000,3,USA,"Biography, Drama"
"Longest Yard, The",2000,1,USA,"Comedy, Crime, Sport"
Little Manhattan,2000,3,USA,"Comedy, Family, Romance"
"Pacifier, The",2000,3,USA,"Action, Comedy, Drama"
House of Wax,1950,3,USA,Horror
Monster-in-Law,2000,0,USA,"Comedy, Romance"
Elektra,2000,3,USA,"Action, Adventure, Crime"
Chicken Little,2000,1,USA,"Animation, Adventure, Comedy"
Grey&#39;s Anatomy,2000,0,USA,"Drama, Romance"
Little Einsteins,2000,1,USA,"Animation, Adventure, Comedy"
West Bank Story,2000,1,USA,"Short, Comedy, Musical"
"Perfect Man, The",2000,3,USA,"Comedy, Family, Romance"
Four Brothers,2000,1,USA,"Action, Crime, Drama"
Cry_Wolf,2000,3,USA,"Drama, Horror, Mystery"
"Producers, The",1960,0,USA,"Comedy, Music"
Twitches,2000,1,USA,"Comedy, Drama, Family"
Stay,2000,1,USA,"Drama, Mystery, Thriller"
"Quiet, The",2000,3,USA,"Crime, Drama, Thriller"
Say Uncle,2000,2,USA,"Comedy, Drama"
Elizabethtown,2000,3,USA,"Comedy, Drama, Romance"
Wallace &amp; Gromit: The Curse of the Were-Rabbit,2000,1,USA,"Animation, Adventure, Comedy"
Survival Island,2000,2,USA,"Drama, Thriller"
Santa&#39;s Slay,2000,3,USA,"Comedy, Fantasy, Horror"
Tyler Perry&#146;s Diary of a mad black woman,2000,3,USA,"Comedy, Drama, Romance"
"Family Stone, The",2000,3,USA,"Comedy, Drama, Romance"
Cheaper by the Dozen 2,2000,2,USA,"Adventure, Comedy, Family"
Green Street Hooligans,2000,0,USA,"Crime, Drama, Sport"
THE MATADOR,2000,1,USA,"Comedy, Crime, Thriller"
Nanny McPhee,2000,0,USA,"Comedy, Family, Fantasy"
"Magic of Ordinary Days, The",2000,3,USA,Drama
"Upside of Anger, The",2000,3,USA,"Comedy, Drama"
My Little Pony,2000,1,USA,"Animation, Adventure, Comedy"
Idiocracy,2000,1,USA,"Adventure, Comedy, Sci-Fi"
"Devil Wears Prada, The",2000,3,USA,"Comedy, Drama"
Pirates of the Caribbean: Dead Man&#39;s Chest,2000,2,USA,"Action, Adventure, Fantasy"
Penelope,2000,3,USA,"Comedy, Fantasy, Romance"
"Pursuit of Happyness, The",2000,0,USA,"Biography, Drama"
Baggage Claim,2010,3,USA,"Comedy, Romance"
Captain Phillips,2010,1,USA,"Action, Biography, Crime"
Filth,2010,1,USA,"Action, Comedy, Crime"
Escape Plan,2010,2,USA,"Action, Thriller"
A Haunting at Silver Falls,2010,3,USA,"Horror, Thriller"
About Time,2010,3,USA,"Comedy, Drama, Fantasy"
"Fifth Estate, The",2010,1,USA,"Biography, Crime, Drama"
"Wine of Summer, The",2010,3,USA,"Comedy, Drama, Romance"
RWBY,2010,3,USA,"Animation, Action, Adventure"
"Counselor, The",2010,3,USA,"Action, Adventure, Crime"
I Used to Be Darker,2010,3,USA,"Drama, Music"
Go for Sisters,2010,3,USA,"Crime, Drama, Thriller"
Ender&#39;s Game,2010,2,USA,"Action, Adventure, Sci-Fi"
Thor: The Dark World,2010,3,USA,"Action, Adventure, Fantasy"
All is Lost,2010,0,USA,"Action, Adventure, Drama"
Enough Said,2010,3,USA,"Comedy, Drama, Romance"
Thanks for Sharing,2010,2,USA,"Comedy, Drama, Romance"
Skinwalker Ranch,2010,0,USA,"Horror, Mystery, Sci-Fi"
Inside Llewyn Davis,2010,1,USA,"Drama, Music"
Ass Backwards,2010,3,USA,"Adventure, Comedy"
"Hunger Games: Catching Fire, The",2010,3,USA,"Action, Adventure, Sci-Fi"
Moving Mountains,2010,3,USA,"Drama, Family"
"Lunchbox, The",2010,3,USA,"Drama, Romance"
Frozen,2010,3,USA,"Animation, Adventure, Comedy"
Her,2010,2,USA,"Drama, Romance, Sci-Fi"
Philomena,2010,3,USA,"Biography, Comedy, Drama"
"Last Keepers, The",2010,3,USA,"Family, Fantasy"
Insidious: Chapter 2,2010,2,USA,"Horror, Mystery, Thriller"
August: Osage County,2010,3,USA,"Comedy, Drama"
Percy Jackson: Sea of Monsters,2010,3,USA,"Adventure, Family, Fantasy"
Man of Tai Chi,2010,3,USA,"Action, Drama"
Out of the Furnace,2010,1,USA,"Action, Crime, Drama"
American Hustle,2010,3,USA,"Crime, Drama"
"Secret Life of Walter Mitty, The",2010,3,USA,"Adventure, Comedy, Drama"
"Hobbit: The Desolation of Smaug, The",2010,3,USA,"Adventure, Drama, Fantasy"
"Wolf of Wall Street, The",2010,3,USA,"Biography, Comedy, Crime"
Love &amp; Air Sex,2010,3,USA,"Comedy, Romance"
We Are What We Are,2010,3,USA,"Drama, Horror, Thriller"
Riley Rewind,2010,3,USA,"Drama, Sci-Fi"
Saving Mr. Banks,2010,3,USA,"Biography, Comedy, Drama"
A Good Day to Die Hard,2010,1,USA,"Action, Thriller"
47 Ronin,2010,2,USA,"Action, Drama, Fantasy"
Zombie Hunter,2010,3,USA,"Action, Comedy, Horror"
"Book Thief, The",2010,3,USA,"Drama, War"
Casse-tete chinois,2010,3,USA,"Comedy, Drama, Romance"
12 Years a Slave,2010,3,USA,"Biography, Drama, History"
Rush,2010,1,USA,"Action, Biography, Drama"
Nymphomaniac: Volume 1,2010,3,USA,Drama
Bounty Killer,2010,3,USA,"Action, Comedy, Sci-Fi"
Austenland,2010,3,USA,"Comedy, Romance"
Cloudy with a Chance of Meatballs 2,2010,3,USA,"Animation, Adventure, Comedy"
"Starving Games, The",2010,3,USA,"Adventure, Comedy, Sci-Fi"
Some Girl(s),2010,1,USA,"Comedy, Drama"
V/H/S/2,2010,3,USA,"Horror, Thriller"
Gimme Shelter,2010,1,USA,Drama
Knights of Badassdom,2010,3,USA,"Action, Adventure, Comedy"
+1,2010,3,USA,"Romance, Sci-Fi, Thriller"
Best Friends Forever,2010,3,USA,Drama
Last Vegas,2010,1,USA,Comedy
"Look of Love, The",2010,3,USA,"Biography, Comedy, Drama"
Oldboy,2010,2,USA,"Action, Drama, Mystery"
Cutie and the Boxer,2010,0,USA,"Documentary, Biography"
Birdemic 2: The Resurrection,2010,3,USA,"Horror, Thriller"
"Best Man Holiday, The",2010,3,USA,"Comedy, Drama"
I Give it a Year,2010,3,USA,"Comedy, Romance"
Grace Unplugged,2010,3,USA,"Drama, Music"
"100-Year-Old Man Who Climbed Out the Window and Disappeared, The",2010,1,USA,"Adventure, Comedy"
"Congress, The",2010,3,USA,"Animation, Drama, Sci-Fi"
Anchorman 2: The Legend Continues,2010,3,USA,Comedy
"Lifeguard, The",2010,3,USA,"Drama, Romance"
Kill Your Darlings,2010,1,USA,"Biography, Drama, Romance"
Blackfish,2010,3,USA,"Documentary, Drama, Horror"
Contracted,2010,3,USA,"Drama, Horror, Thriller"
Fading Gigolo,2010,2,USA,"Comedy, Romance"
Bad Words,2010,2,USA,"Comedy, Drama"
Words and Pictures,2010,3,USA,"Comedy, Drama, Romance"
An Easter Bunny Puppy,2010,3,USA,Family
G.B.F.,2010,3,USA,"Comedy, Drama, Romance"
Odd Thomas,2010,3,USA,"Comedy, Fantasy, Horror"
Interior. Leather Bar.,2010,1,USA,Drama
Touchy Feely,2010,3,USA,"Comedy, Drama"
"Punk Singer, The",2010,3,USA,"Documentary, Biography, Music"
Best Night Ever,2010,3,USA,Comedy
"Immigrant, The",2010,3,USA,"Drama, Romance"
Palo Alto,2010,3,USA,Drama
Locke,2010,0,USA,Drama
Justice Is Mind,2010,3,USA,"Crime, Drama, Mystery"
Decoding Annie Parker,2010,3,USA,Drama
"Pretty One, The",2010,3,USA,"Comedy, Drama"
"Last Stand, The",2010,1,USA,"Action, Thriller, Western"
"Kings of Summer, The",2010,2,USA,"Adventure, Comedy, Drama"
Life Inside Out,2010,3,USA,Drama
Beneath,2010,0,USA,"Adventure, Drama, Horror"
All Cheerleaders Die,2010,3,USA,"Comedy, Horror"
Geography Club,2010,3,USA,"Comedy, Drama"
Homefront,2010,2,USA,"Action, Crime, Thriller"
"Zero Theorem, The",2010,0,USA,"Comedy, Drama, Fantasy"
Blue Ruin,2010,3,USA,"Crime, Drama, Thriller"
Wrong Cops,2010,1,USA,"Comedy, Crime"
Are You Here,2010,3,USA,"Comedy, Drama"
"Invisible Woman, The",2010,3,USA,"Biography, Drama, History"
"Love Punch, The",2010,3,USA,"Comedy, Romance"
At Middleton,2010,3,USA,"Comedy, Romance"
Ashley,2010,3,USA,Drama
Remember Sunday,2010,3,USA,"Drama, Romance"
"Princess Twins of Legendale, The",2010,3,USA,"Animation, Adventure, Family"
Horns,2010,3,USA,"Comedy, Fantasy, Horror"
"Truth About Emanuel, The",2010,3,USA,"Drama, Mystery, Thriller"
Legends of Oz: Dorothy&#39;s Return,2010,3,USA,"Animation, Adventure, Family"
"Spectacular Now, The",2010,2,USA,"Drama, Romance"
Particle Fever,2010,3,USA,Documentary
Tim&#39;s Vermeer,2010,2,USA,"Documentary, History"
Open Road,2010,3,USA,"Drama, Thriller"
Curse of Chucky,2010,3,USA,"Horror, Thriller"
Plush,2010,3,USA,"Drama, Horror, Mystery"
First Period,2010,3,USA,Comedy
Rewind,2010,1,USA,"Action, Sci-Fi, Thriller"
Maron,2010,0,USA,Comedy
Teen Beach Movie,2010,3,USA,"Comedy, Family, Fantasy"
Coherence,2010,3,USA,"Drama, Mystery, Sci-Fi"
Upstream Color,2010,0,USA,"Drama, Mystery, Sci-Fi"
Adult World,2010,3,USA,"Comedy, Drama"
Maidentrip,2010,3,USA,"Documentary, Adventure, Biography"
A Picture of You,2010,3,USA,Drama
"Last of Robin Hood, The",2010,3,USA,"Biography, Drama, Romance"
House of Cards,2010,1,USA,Drama
Monster Pies,2010,2,USA,"Drama, Romance"
Ronny,2010,0,USA,"Short, Comedy, Drama"
Lost Angel,2010,0,USA,"Short, Comedy, Drama"
Cheap Thrills,2010,1,USA,"Comedy, Crime, Drama"
A Teacher,2010,3,USA,"Drama, Romance"
Very Good Girls,2010,3,USA,"Drama, Romance"
A Case of You,2010,3,USA,"Comedy, Romance"
Vino Veritas,2010,3,USA,Comedy
A Haunted House,2010,3,USA,"Comedy, Fantasy, Horror"
Christmas in the City,2010,3,USA,"Comedy, Drama, Family"
"Den, The",2010,3,USA,"Horror, Mystery, Thriller"
Jug Face,2010,3,USA,"Drama, Horror, Thriller"
Lone Survivor,2010,0,USA,"Action, Biography, Drama"
Frankenstein&#39;s Army,2010,0,USA,"Horror, Sci-Fi"
CBGB,2010,1,USA,"Crime, Drama, Music"
Sleeping with the Fishes,2010,3,USA,Comedy
Delivery Man,2010,1,USA,"Comedy, Drama, Family"
Barbie and the pink shoes,2010,3,USA,"Animation, Family"
Metalocalypse The Doomstar Requiem,2010,1,USA,"Animation, Comedy, Music"
Monster High: Thirteen Wishes,2010,1,USA,Animation
"Fosters, The",2010,1,USA,"Drama, Romance"
Charlie Countryman,2010,1,USA,"Action, Comedy, Drama"
Free Birds,2010,0,USA,"Animation, Adventure, Comedy"
"Legend of Hercules, The",2010,2,USA,"Action, Adventure, Fantasy"
Jack Ryan: Shadow Recruit,2010,1,USA,"Action, Drama, Thriller"
Ride Along,2010,0,USA,"Action, Comedy, Crime"
"Lego Movie, The",2010,3,USA,"Animation, Action, Adventure"
Vampire Academy,2010,3,USA,"Action, Comedy, Drama"
"Monuments Men, The",2010,0,USA,"Comedy, Drama, War"
Dead Snow 2,2010,3,USA,"Action, Comedy, Horror"
Fields of the Dead,2010,3,USA,Horror
Robocop,2010,2,USA,"Action, Crime, Sci-Fi"
Lizzie Borden Took An Ax,2010,3,USA,"Biography, Crime, Drama"
3 Days to Kill,2010,3,USA,"Action, Drama, Thriller"
Pompeii,2010,3,USA,"Action, Adventure, Drama"
Non-Stop,2010,3,USA,"Action, Mystery, Thriller"
"I, Frankenstein",2010,1,USA,"Action, Fantasy, Sci-Fi"
Paranormal Activity: The Marked Ones,2010,2,USA,"Horror, Mystery"
Winter&#39;s Tale,2010,3,USA,"Drama, Fantasy, Mystery"
Mr. Peabody and Sherman,2010,1,USA,"Animation, Adventure, Comedy"
"Grand Budapest Hotel, The",2010,1,USA,"Adventure, Comedy, Crime"
That Awkward Moment,2010,3,USA,"Comedy, Romance"
300: Rise of an Empire,2010,1,USA,"Action, Drama"
Veronica Mars,2010,3,USA,"Crime, Drama, Mystery"
Our RoboCop Remake,2010,3,USA,"Action, Comedy, Crime"
Divergent,2010,3,USA,"Action, Adventure, Mystery"
God&#39;s Not Dead,2010,3,USA,"Drama, Romance"
Rio 2,2010,3,USA,"Animation, Adventure, Comedy"
Cesar Chavez,2010,3,USA,"Biography, Drama"
Noah,2010,3,USA,"Action, Adventure, Drama"
Camp Takota,2010,3,USA,Comedy
Captain America: The Winter Soldier,2010,3,USA,"Action, Adventure, Sci-Fi"
Lies I Told My Little Sister,2010,3,USA,"Comedy, Drama"
Million Dollar Arm,2010,1,USA,"Biography, Drama, Family"
Joe,2010,2,USA,"Crime, Drama, Thriller"
Under the Skin,2010,0,USA,"Drama, Horror, Mystery"
Transcendence,2010,1,USA,"Action, Drama, Sci-Fi"
Barefoot,2010,3,USA,"Comedy, Drama, Romance"
Oculus,2010,3,USA,"Horror, Mystery, Thriller"
Mega Shark vs. Mecha Shark,2010,3,USA,"Action, Adventure, Comedy"
"Other Woman, The",2010,3,USA,"Comedy, Romance"
Amazing Spider-Man 2,2010,1,USA,"Action, Adventure, Sci-Fi"
Draft Day,2010,2,USA,"Drama, Sport"
Brick Mansions,2010,3,USA,"Action, Crime, Thriller"
"Fault in Our Stars, The",2010,3,USA,"Drama, Romance"
Walk of Shame,2010,3,USA,Comedy
Godzilla,1990,3,USA,"Action, Sci-Fi, Thriller"
Starving in Suburbia,2010,3,USA,"Biography, Drama"
Muppets Most Wanted,2010,1,USA,"Adventure, Comedy, Crime"
Chef,2010,1,USA,"Adventure, Comedy, Drama"
Neighbors,2010,3,USA,Comedy
"Two Faces of January, The",2010,3,USA,"Crime, Mystery, Romance"
X-Men: Days of Future Past,2010,1,USA,"Action, Adventure, Sci-Fi"
Boyhood,2010,3,USA,Drama
Maleficent,2010,3,USA,"Action, Adventure, Drama"
Grace of Monaco,2010,3,USA,"Biography, Drama, Romance"
"Something, Anything",2010,3,USA,"Drama, Romance"
A Million Ways to Die in the West,2010,2,USA,"Comedy, Western"
Edge of Tomorrow,2010,1,USA,"Action, Adventure, Sci-Fi"
"Skeleton Twins, The",2010,3,USA,"Comedy, Drama, Romance"
"Bag Man, The",2010,1,USA,"Action, Crime, Drama"
Ragamuffin,2010,2,USA,"Biography, Drama, Music"
"Rover, The",2010,0,USA,"Action, Crime, Drama"
Obvious Child,2010,3,USA,"Comedy, Drama, Romance"
What We Do in the Shadows,2010,1,USA,"Comedy, Horror"
Transformers: Age of Extinction,2010,3,USA,"Action, Adventure, Sci-Fi"
Tammy,2010,3,USA,"Comedy, Romance"
Begin Again,2010,3,USA,"Comedy, Drama, Music"
How to Train Your Dragon 2,2010,1,USA,"Animation, Action, Adventure"
Dawn of the Planet of the Apes,2010,1,USA,"Action, Adventure, Drama"
Sabotage,2010,3,USA,"Action, Crime, Drama"
Dead Girls,2010,3,USA,"Horror, Thriller"
"Purge: Anarchy, The",2010,3,USA,"Action, Horror, Sci-Fi"
Jersey Boys,2010,2,USA,"Biography, Drama, Music"
Hercules,1980,3,USA,"Adventure, Fantasy, History"
22 Jump St,2010,2,USA,"Action, Comedy, Crime"
Blended,2010,3,USA,"Comedy, Romance"
Guardians of the Galaxy,2010,3,USA,"Action, Adventure, Comedy"
Planes: Fire &amp; Rescue,2010,1,USA,"Animation, Adventure, Comedy"
Into the Storm,2010,3,USA,"Action, Adventure, Drama"
Teenage Mutant Ninja Turtles,1990,2,USA,"Action, Adventure, Comedy"
