movie,decade,rating,country,genre
Unbelievable,2010,3,USA,"Crime, Drama"
Zombieland: Double Tap,2010,3,USA,"Action, Comedy, Horror"
Satanic Panic,2010,3,USA,"Comedy, Horror"
Star Wars: Episode IX - The Rise of Skywalker,2010,3,USA,"Action, Adventure, Fantasy"
Yesterday,2010,1,USA,"Comedy, Fantasy, Music"
Her Smell,2010,3,USA,"Drama, Music"
Cats,2010,3,USA,"Comedy, Drama, Family"
Rambo: Last Blood,2010,2,USA,"Action, Crime, Thriller"
A Dog&#39;s Journey,2010,3,USA,"Adventure, Comedy, Drama"
Monos,2010,3,USA,"Adventure, Drama, Thriller"
Little Women,1940,3,USA,"Drama, Family, Romance"
"Aeronauts, The",2010,3,USA,"Action, Adventure, Drama"
Uncut Gems,2010,2,USA,"Crime, Drama, Thriller"
"Goldfinch, The",2010,1,USA,"Crime, Drama, Mystery"
"Two Popes, The",2010,1,USA,"Biography, Comedy, Drama"
1917,2010,0,USA,"Action, Drama, History"
Just Mercy,2010,2,USA,"Biography, Crime, Drama"
For Sama,2010,3,USA,"Documentary, Biography, War"
Troop Zero,2010,3,USA,"Comedy, Drama, Family"
In the Tall Grass,2010,1,USA,"Horror, Mystery, Sci-Fi"
El Camino: A Breaking Bad Movie,2010,1,USA,"Action, Crime, Drama"
Jumanji: The Next Level,2010,1,USA,"Action, Adventure, Comedy"
Paddleton,2010,0,USA,"Comedy, Drama"
Seberg,2010,3,USA,"Biography, Drama, Thriller"
Straight Up,2010,3,USA,"Comedy, Romance"
Can You Keep A Secret?,2010,3,USA,"Comedy, Romance"
i lost my body,2010,0,USA,"Animation, Drama, Fantasy"
Iron Sky: The Coming Race,2010,3,USA,"Action, Adventure, Comedy"
Color Out of Space,2010,2,USA,"Horror, Mystery, Sci-Fi"
Otherhood,2010,3,USA,Comedy
7500,2010,1,USA,"Action, Drama, Thriller"
Secret Obsession,2010,1,USA,"Crime, Drama, Mystery"
Spies in Disguise,2010,3,USA,"Animation, Action, Adventure"
Missing Link,2010,1,USA,"Animation, Adventure, Comedy"
Murder Mystery,2010,1,USA,"Crime, Mystery, Romance"
