decada,nacionalidade,%nota0,%nota1,%nota2,%nota3
2010,USA,6.193458594293667,19.345859429366737,9.672929714683368,64.78775226165622
2010,Others,10.989010989010989,19.505494505494507,7.829670329670329,61.675824175824175
2000,USA,8.524173027989821,22.264631043256998,10.432569974554708,58.778625954198475
2000,Others,9.03954802259887,19.491525423728813,8.192090395480225,63.2768361581921
1990,USA,7.562076749435666,26.63656884875846,12.528216704288939,53.27313769751692
1990,Others,14.181818181818182,20.363636363636363,7.2727272727272725,58.18181818181818
1940,USA,13.861386138613863,21.287128712871286,14.356435643564355,50.495049504950494
1940,Others,17.77777777777778,11.11111111111111,17.77777777777778,53.333333333333336
2020,USA,5.8601134215500945,13.42155009451796,8.695652173913043,72.0226843100189
2020,Others,8.0,21.5,7.000000000000001,63.5
1930,USA,11.176470588235295,18.823529411764707,22.35294117647059,47.647058823529406
1930,Others,11.76470588235294,26.47058823529412,14.705882352941178,47.05882352941176
1950,USA,16.055045871559635,22.93577981651376,16.972477064220186,44.03669724770643
1950,Others,10.0,19.0,12.0,59.0
1980,USA,11.741682974559687,23.09197651663405,12.720156555772993,52.44618395303326
1980,Others,19.170984455958546,22.797927461139896,11.398963730569948,46.63212435233161
1960,USA,14.220183486238533,25.229357798165136,15.137614678899084,45.412844036697244
1960,Others,21.120689655172413,27.155172413793103,7.758620689655173,43.96551724137931
1970,USA,12.099644128113878,28.825622775800714,13.523131672597867,45.55160142348754
1970,Others,17.857142857142858,25.0,12.755102040816327,44.38775510204081
